INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:38', '腾讯控股', '推荐视频', '2024.10.23宏观-科技主线-板块机会', 40, NULL, '0', '推荐视频');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-07-16 11:50:27', '腾讯控股', '企业财务数据', '2025-07-15 市值为43308.49亿元, 47432.32亿港元', 16, NULL, '1', '市值规模');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', '①最新港股流通总股数91.76亿；②最新港股总股数91.76亿；③最新港股流通股占比为100.00%', 17, NULL, '1', '流通股达50%以上');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', NULL, 18, '未被处罚过', '1', '上市以来：是否有被处罚');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', '公司最大的主营业务合计占比51.18%', 19, NULL, '0', '主营业务占比60%以上');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', NULL, 20, NULL, '1', '毛利率');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', NULL, 21, NULL, '1', '净利率');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', NULL, 22, NULL, '1', '每股收益');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', '2023年数据不达标的主要原因为：1.投资亏损60.9亿元；2.缺乏大规模套现旗下持股。', 23, NULL, '0', '净资产收益率');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', '2022，2023年数据不达标的主要原因为：1.对若干投资公司进行减值拨备；2.2022年同期视同处置美团的收益1066亿元导致基数较高。', 24, NULL, '0', '净利润增长率');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', '2022，2023，2024年数据不达标的主要原因为：1.疫情后消费疲软及广告业务萎靡；2.互联网行业整体增速放缓。', 25, NULL, '0', '营业收入增长率');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', NULL, 26, NULL, '1', '经营性现金流');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', '2024年数据不达标的主要原因为：1.AI项目资本开支付款390亿元；2.媒体内容付款85亿元。', 27, NULL, '0', '净现金流');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', NULL, 28, NULL, '1', '期末现金及现金等价物');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', NULL, 29, NULL, '1', '资产负债率');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-07-16 11:50:28', '腾讯控股', '企业财务数据', '2025-07-15 滚动市盈率为22.35', 30, NULL, '0', '滚动市盈率');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-07-16 11:50:28', '腾讯控股', '企业财务数据', '2025-07-15 市净率为4.25', 31, NULL, '1', '市净率');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', '公司上市以来，每年进行分红。', 32, NULL, '1', '现金分红：每年都有，越多越好');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-06-27 13:18:57', '腾讯控股', '企业财务数据', '近3年无转增配送，但需注意此项可以为好公司锦上添花，没有非硬伤。', 33, NULL, '0', '连续三年转增配送股');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-07-15 19:13:02', '腾讯控股', '行业赛道', '**一、社交与内容生态（主营业务）** \n1. **行业增速**：2024年同比增长26.3%，增速较快。 \n2. **成长逻辑**： \n   - 驱动因素：短视频与直播渗透率提升、AI内容生成技术普及、社交电商融合。 \n   - 市场潜力：用户规模持续扩大（2025年6.74亿游戏用户间接反映内容需求），技术迭代（如AIGC）进一步降低创作门槛。 \n   **结论**：朝阳行业，新兴行业。 \n\n**二、游戏业务（主营业务）** \n1. **行业增速**：2024年同比增长5.6%，增速较慢（低于GDP增速）。 \n2. **成长逻辑**： \n   - 驱动因素：多端发行（如主机游戏增长55.13%）、电竞生态扩张（2024年电竞收入增长7.52%）、海外市场拓展。 \n   - 瓶颈：移动游戏占比73.12%但增速放缓至5.01%，网页游戏连续九年下滑。 \n   **结论**：朝阳行业（因创新场景支撑），传统行业。 \n\n**三、AI驱动企业服务（新战略业务）** \n1. **行业增速**：2024年全球同比增长32%，增速极快。 \n2. **成长逻辑**： \n   - 驱动因素：企业数字化需求（如智能客服、数据分析）、技术成熟度提升（千帆大模型等平台落地）、政策支持（AI+产业融合）。 \n   - 市场潜力：全球AI软件市场2024年达970亿美元，渗透率仍低。 \n   **结论**：朝阳行业，新兴行业。 \n\n**总结**：社交与内容生态和AI企业服务为高增长新兴行业，游戏业务依赖创新维持朝阳属性但需转型。', 1, '存在高增长新兴行业', '1', '朝阳VS夕阳行业？新兴VS传统行业？');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-07-15 19:13:02', '腾讯控股', '行业赛道', '**一、社交与内容生态（主营业务）\n1. 弱周期性特征明显：\n   （1）用户需求稳定：2025年中国社交网络月活用户达12.8亿，渗透率89%，短视频、兴趣社群等垂直领域贡献65%新增用户。\n   （2）技术驱动抗周期：AI技术应用覆盖率从2024年42%升至2025年67%，日均使用时长增至158分钟，支撑内容生态韧性。\n\n**二、游戏业务（主营业务）\n1. 中强周期性混合：\n   （1）政策与技术周期敏感：2025年国产游戏版号单月发放130款创历史新高，但AI生成内容审查标准未明确带来波动风险。\n   （2）经济周期关联性：2024年SLG类游戏ARPU值同比下降12%，经济下行期休闲游戏需求上升。\n\n**三、AI驱动企业服务（新战略业务）\n1. 弱周期性主导：\n   （1）长期技术投入：全球AI市场预计2025年达1260亿美元，企业级AI在营销、客户运营等场景渗透率持续提升。\n   （2）需求刚性：AI技术缩短30%的NPC建模耗时（如腾讯案例），企业降本增效需求不受短期经济波动影响。', 2, '存在中强周期性行业', '0', '行业是否有周期性？');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-07-15 19:13:02', '腾讯控股', '行业赛道', '**一、社交与内容生态（主营业务）\n1. **政策定位**：未直接列入国家八大新兴产业或九大未来产业，但受内容治理与算法监管政策影响。\n2. **重要政策**：\n   - 2025年中央网信办开展“清朗·算法治理”行动，要求平台优化推荐算法，增设“一键破茧”功能以破除信息茧房。\n   - 《互联网信息服务管理办法》强化内容审核责任，打击虚假信息与低俗内容。\n\n**二、游戏业务（主营业务）\n1. **政策定位**：未直接列入新兴产业或未来产业，但多地出台专项扶持政策。\n2. **重要政策**：\n   - 北京市2025年6月发布《游戏电竞行业高质量发展支持办法》，对研发企业给予最高500万元奖励。\n   - 浙江省2025年推出《游戏出海若干措施》，优化审批流程并加强知识产权保护。\n\n**三、AI驱动企业服务（新战略业务）\n1. **政策定位**：生成式人工智能列入九大未来产业。\n2. **重要政策**：\n   - 北京市2025年4月发布《AI应用服务能力行动方案》，对行业模型落地案例给予最高3000万元奖励。\n   - 中央网信办推动算法透明化，要求AI服务商公开训练数据来源及合规性。', 3, '政策扶持与规范并存', '1', '行业是否受政策鼓励？');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-07-15 19:13:02', '腾讯控股', '行业赛道', '**一、社交与内容生态（主营业务）\n1. 2023年中国社交与内容生态行业规模为1.2万亿元（数据来源：艾瑞咨询2024年1月报告）。\n2. 2023年中国社交与内容生态市场渗透率达82.3%（数据来源：CNNIC第52次《中国互联网络发展状况统计报告》）。\n\n**二、游戏业务（主营业务）\n1. 2023年中国游戏行业规模为3,029.6亿元（数据来源：中国音数协游戏工委《2023年中国游戏产业报告》）。\n2. 2023年中国游戏用户渗透率为68.1%（数据来源：同上报，基于7.42亿用户除以全国网民规模10.92亿）。\n\n**三、AI驱动企业服务（新战略业务）\n1. 2023年中国AI企业服务市场规模为1,850亿元（数据来源：IDC《2023年中国AI市场预测》）。\n2. 2023年AI企业服务在中小企业渗透率为17.6%（数据来源：艾瑞《2023年中国AI+企业服务应用白皮书》）。', 4, '行业规模超千亿', '1', '行业规模多大？渗透率如何？');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-07-15 19:13:02', '腾讯控股', '行业赛道', '**一、社交与内容生态（中国数据）** \n1. **最新3年复合增长率（2022-2024年）**： \n   - 中国社交内容生态市场规模年复合增长率约 **26.3%**（2024年网络平台内容规模同比增长26.3%）。 \n2. **最新1年增长率（2024年）**： \n   - 2024年同比增长 **26.3%**（内容规模增速）。 \n\n**二、游戏业务（中国数据）** \n1. **最新3年复合增长率（2022-2024年）**： \n   - 中国游戏行业年复合增长率约 **7.16%**（2023年市场规模3030亿元，2024年预计超3200亿元）。 \n2. **最新1年增长率（2024年）**： \n   - 2024年同比增长约 **5.6%**（2023年3030亿元→2024年3200亿元）。 \n\n**三、AI驱动企业服务（全球数据，中国数据缺失）** \n1. **最新3年复合增长率（2022-2024年）**： \n   - 全球AI软件市场年复合增长率 **32%**（2024年达970亿美元）。 \n2. **最新1年增长率（2024年）**： \n   - 2024年同比增长 **32%**。 \n\n**关键词备注**：社交与内容生态（中国）、游戏业务（中国）、AI驱动企业服务（全球）。 \n\n**一、2024年中国GDP全年增速** \n1. 根据国家统计局数据，2024年中国国内生产总值（GDP）为1349084亿元，按不变价格计算，全年增长5.0%。', 5, '社交与内容生态增速远超GDP', '1', '行业复合成长速度是否超过GDP增速？');
INSERT INTO `` (`stockCode`, `update_at`, `stockName`, `category`, `more`, `number`, `reason`, `score`, `title`) VALUES ('00700', '2025-07-15 19:13:02', '腾讯控股', '行业赛道', '**一、社交与内容生态（中国数据）** \n1. **最新3年复合增长率（2022-2024年）**： \n   - 中国社交内容生态市场规模年复合增长率约 **26.3%**（2024年网络平台内容规模同比增长26.3%）。 \n2. **最新1年增长率（2024年）**： \n   - 2024年同比增长 **26.3%**（内容规模增速）。 \n\n**二、游戏业务（中国数据）** \n1. **最新3年复合增长率（2022-2024年）**： \n   - 中国游戏行业年复合增长率约 **7.16%**（2023年市场规模3030亿元，2024年预计超3200亿元）。 \n2. **最新1年增长率（2024年）**： \n   - 2024年同比增长约 **5.6%**（2023年3030亿元→2024年3200亿元）。 \n\n**三、AI驱动企业服务（全球数据，中国数据缺失）** \n1. **最新3年复合增长率（2022-2024年）**： \n   - 全球AI软件市场年复合增长率 **32%**（2024年达970亿美元）。 \n2. **最新1年增长率（2024年）**： \n   - 2024年同比增长 **32%**。 \n\n**关键词备注**：社交与内容生态（中国）、游戏业务（中国）、AI驱动企业服务（全球）。', 6, '社交与内容生态增速超两位数', '1', '行业复合成长速度是否达到两位数？');
